n
"{""id"":Protein ID}"
"{""id"":Reactome Pathway ID}"
"{""id"":A0A0G2K548}"
"{""id"":R-RNO-5576890}"
"{""id"":A5HKJ1}"
"{""id"":O08962}"
"{""id"":P63161}"
"{""id"":Q71FD8}"
"{""id"":Q9JJV7}"
"{""id"":Q9Z0N7}"
"{""id"":A0A286ZW00}"
"{""id"":R-SSC-5576894}"
"{""id"":A0A5G2QNS8}"
"{""id"":A0A5G2QVE3}"
"{""id"":A0A5G2R345}"
"{""id"":F1S8T5}"
"{""id"":F1SBP4}"
"{""id"":F1SU60}"
"{""id"":P62956}"
"{""id"":R-MMU-5576893}"
"{""id"":P97414}"
"{""id"":Q01815}"
"{""id"":Q6PHS9}"
"{""id"":Q70FJ1}"
"{""id"":Q8CC27}"
"{""id"":Q8R3Z5}"
"{""id"":Q8VHW2}"
"{""id"":Q8VHW3}"
"{""id"":Q9D808}"
"{""id"":Q9JJV4}"
"{""id"":Q9QZ26}"
"{""id"":Q9WTW2}"
"{""id"":Q9WTW3}"
"{""id"":A0A287B4X9}"
"{""id"":R-SSC-5578768}"
"{""id"":P18104}"
"{""id"":O60939}"
"{""id"":R-HSA-5576892}"
"{""id"":P0DP23}"
"{""id"":P35498}"
"{""id"":P35499}"
"{""id"":P61328}"
"{""id"":P62955}"
"{""id"":Q01118}"
"{""id"":Q02641}"
"{""id"":Q07699}"
"{""id"":Q08289}"
"{""id"":Q13554}"
"{""id"":Q13555}"
"{""id"":Q13557}"
"{""id"":Q13936}"
"{""id"":Q14524}"
"{""id"":Q15858}"
"{""id"":Q8IWT1}"
"{""id"":Q8WXS5}"
"{""id"":Q92913}"
"{""id"":Q92914}"
"{""id"":Q92915}"
"{""id"":Q99250}"
"{""id"":Q9BXT2}"
"{""id"":Q9HD47}"
"{""id"":Q9NY46}"
"{""id"":Q9NY47}"
"{""id"":Q9NY72}"
"{""id"":Q9UBN1}"
"{""id"":Q9UI33}"
"{""id"":Q9UQD0}"
"{""id"":Q9UQM7}"
"{""id"":Q9Y5Y9}"
"{""id"":A0A286ZJB7}"
"{""id"":R-SSC-5576893}"
"{""id"":A0A286ZNE8}"
"{""id"":A0A287AB87}"
"{""id"":A0A287ANL1}"
"{""id"":A0A287B082}"
"{""id"":F1RNI9}"
"{""id"":F1RNJ2}"
"{""id"":F2Z4Y2}"
"{""id"":D3ZYK3}"
"{""id"":R-RNO-5576894}"
"{""id"":Q62897}"
"{""id"":Q8R426}"
"{""id"":Q99MG9}"
"{""id"":Q9JM47}"
"{""id"":Q9JM59}"
"{""id"":D3ZLR9}"
"{""id"":R-RNO-5576886}"
"{""id"":D4A806}"
"{""id"":G3V8R8}"
"{""id"":G3V8V5}"
"{""id"":M0R8B9}"
"{""id"":O54912}"
"{""id"":O70596}"
"{""id"":P52188}"
"{""id"":P52190}"
"{""id"":Q64273}"
"{""id"":Q6Q1P3}"
"{""id"":Q8R5I0}"
"{""id"":Q920B6}"
"{""id"":Q9ERS0}"
"{""id"":Q9ERS1}"
"{""id"":Q9ES08}"
"{""id"":Q9JIS4}"
"{""id"":Q9Z2T2}"
"{""id"":P01161}"
"{""id"":R-RNO-5578768}"
"{""id"":P16067}"
"{""id"":P18910}"
"{""id"":P55207}"
"{""id"":Q80YN4}"
"{""id"":Q6PIL6}"
"{""id"":R-HSA-5576894}"
"{""id"":Q9NS61}"
"{""id"":Q9NSA2}"
"{""id"":Q9NZI2}"
"{""id"":Q9NZV8}"
"{""id"":Q9UK17}"
"{""id"":Q9Y2W7}"
"{""id"":A0A0G2K2B5}"
"{""id"":R-RNO-5578775}"
"{""id"":B0LPN4}"
"{""id"":B5DFN2}"
"{""id"":D3ZYV4}"
"{""id"":F1LMY4}"
"{""id"":F1M7A1}"
"{""id"":O08589}"
"{""id"":P06685}"
"{""id"":P06686}"
"{""id"":P06687}"
"{""id"":P07340}"
"{""id"":P08413}"
"{""id"":P0DP31}"
"{""id"":P11275}"
"{""id"":P11505}"
"{""id"":P11506}"
"{""id"":P11507}"
"{""id"":P11730}"
"{""id"":P13638}"
"{""id"":P15791}"
"{""id"":P18596}"
"{""id"":P19633}"
"{""id"":P23693}"
"{""id"":P27791}"
"{""id"":P29476}"
"{""id"":P29994}"
"{""id"":P29995}"
"{""id"":P48768}"
"{""id"":P51868}"
"{""id"":P59645}"
"{""id"":P59649}"
"{""id"":P61016}"
"{""id"":P70549}"
"{""id"":P70673}"
"{""id"":P84903}"
"{""id"":P97534}"
"{""id"":Q01728}"
"{""id"":Q04679}"
"{""id"":Q5M883}"
"{""id"":Q63113}"
"{""id"":Q63269}"
"{""id"":Q63377}"
"{""id"":Q63563}"
"{""id"":Q64541}"
"{""id"":Q64542}"
"{""id"":Q64568}"
"{""id"":Q91XV6}"
"{""id"":Q9QX01}"
"{""id"":Q9QX75}"
"{""id"":Q03719}"
"{""id"":R-MMU-5576894}"
"{""id"":Q6PHZ8}"
"{""id"":Q9JJ57}"
"{""id"":Q9JJ69}"
"{""id"":Q9QXT8}"
"{""id"":Q9Z0V1}"
"{""id"":Q9Z0V2}"
"{""id"":O00168}"
"{""id"":R-HSA-5578775}"
"{""id"":O00631}"
"{""id"":O14958}"
"{""id"":O14983}"
"{""id"":O15247}"
"{""id"":O43865}"
"{""id"":O60706}"
"{""id"":P05023}"
"{""id"":P05026}"
"{""id"":P13637}"
"{""id"":P14415}"
"{""id"":P16615}"
"{""id"":P17612}"
"{""id"":P19429}"
"{""id"":P20020}"
"{""id"":P21817}"
"{""id"":P23634}"
"{""id"":P26678}"
"{""id"":P29475}"
"{""id"":P30626}"
"{""id"":P31415}"
"{""id"":P32418}"
"{""id"":P48995}"
"{""id"":P50993}"
"{""id"":P54709}"
"{""id"":P54710}"
"{""id"":P57103}"
"{""id"":P58549}"
"{""id"":P59646}"
"{""id"":P68106}"
"{""id"":Q01814}"
"{""id"":Q09013}"
"{""id"":Q12797}"
"{""id"":Q13061}"
"{""id"":Q13586}"
"{""id"":Q13733}"
"{""id"":Q14571}"
"{""id"":Q14573}"
"{""id"":Q14643}"
"{""id"":Q14654}"
"{""id"":Q14802}"
"{""id"":Q15413}"
"{""id"":Q16720}"
"{""id"":Q92736}"
"{""id"":Q93084}"
"{""id"":Q96D31}"
"{""id"":Q96SN7}"
"{""id"":Q9H0Q3}"
"{""id"":Q9UPR5}"
"{""id"":O35219}"
"{""id"":R-MMU-5576890}"
"{""id"":D3ZMP9}"
"{""id"":R-RNO-5576892}"
"{""id"":F1LQQ7}"
"{""id"":G3V7X1}"
"{""id"":O08562}"
"{""id"":O88420}"
"{""id"":O88457}"
"{""id"":P04774}"
"{""id"":P04775}"
"{""id"":P08104}"
"{""id"":P15389}"
"{""id"":P15390}"
"{""id"":P22002}"
"{""id"":P54283}"
"{""id"":P54900}"
"{""id"":P61150}"
"{""id"":P62957}"
"{""id"":Q00954}"
"{""id"":Q62968}"
"{""id"":Q7M730}"
"{""id"":Q8CFG6}"
"{""id"":Q8R5L7}"
"{""id"":Q8VGC3}"
"{""id"":Q8VHW5}"
"{""id"":Q8VHW7}"
"{""id"":Q8VHW9}"
"{""id"":Q9ERW3}"
"{""id"":Q9JK00}"
"{""id"":P05125}"
"{""id"":R-MMU-5578768}"
"{""id"":P18293}"
"{""id"":Q61839}"
"{""id"":Q6VVW5}"
"{""id"":Q9Z319}"
"{""id"":A2AGL3}"
"{""id"":R-MMU-5578775}"
"{""id"":E9PZQ0}"
"{""id"":E9Q401}"
"{""id"":E9Q9K5}"
"{""id"":G5E829}"
"{""id"":O09161}"
"{""id"":O09165}"
"{""id"":O55143}"
"{""id"":P05132}"
"{""id"":P0DP26}"
"{""id"":P11798}"
"{""id"":P11881}"
"{""id"":P14094}"
"{""id"":P14231}"
"{""id"":P28652}"
"{""id"":P48787}"
"{""id"":P54265}"
"{""id"":P59648}"
"{""id"":P61014}"
"{""id"":P70170}"
"{""id"":P70227}"
"{""id"":P70302}"
"{""id"":P70414}"
"{""id"":P97370}"
"{""id"":Q04646}"
"{""id"":Q0VF55}"
"{""id"":Q61056}"
"{""id"":Q61743}"
"{""id"":Q61835}"
"{""id"":Q64518}"
"{""id"":Q6P069}"
"{""id"":Q6PHZ2}"
"{""id"":Q6PIC6}"
"{""id"":Q6PIE5}"
"{""id"":Q6Q477}"
"{""id"":Q80SW1}"
"{""id"":Q8BSY0}"
"{""id"":Q8K596}"
"{""id"":Q8R429}"
"{""id"":Q8VDN2}"
"{""id"":Q923T9}"
"{""id"":Q9D164}"
"{""id"":Q9D2W0}"
"{""id"":Q9R0K7}"
"{""id"":Q9WV27}"
"{""id"":Q9Z0J4}"
"{""id"":Q9Z239}"
"{""id"":Q9Z2I2}"
"{""id"":Q9Z329}"
"{""id"":S4R2P9}"
"{""id"":P15382}"
"{""id"":R-HSA-5576893}"
"{""id"":P51787}"
"{""id"":Q8WWG9}"
"{""id"":Q99996}"
"{""id"":Q9UJ90}"
"{""id"":Q9Y6H6}"
"{""id"":Q9Y6J6}"
"{""id"":A0A286ZMZ4}"
"{""id"":R-SSC-5576886}"
"{""id"":A0A286ZYJ4}"
"{""id"":A0A287A5K0}"
"{""id"":A0A287A685}"
"{""id"":A0A287AIG4}"
"{""id"":A0A287AWU0}"
"{""id"":A0A287B0A6}"
"{""id"":F1RGV1}"
"{""id"":F1RL84}"
"{""id"":F1RQN9}"
"{""id"":F1RRI8}"
"{""id"":F1RVQ8}"
"{""id"":F1RVQ9}"
"{""id"":F1SDA6}"
"{""id"":F1SDS1}"
"{""id"":F1SKP8}"
"{""id"":F1SQH8}"
"{""id"":A2APX8}"
"{""id"":R-MMU-5576892}"
"{""id"":A2ASI5}"
"{""id"":B1AWN6}"
"{""id"":B1AYL1}"
"{""id"":P61329}"
"{""id"":P70377}"
"{""id"":P70378}"
"{""id"":P70379}"
"{""id"":P97952}"
"{""id"":Q56A07}"
"{""id"":Q62205}"
"{""id"":Q6QIY3}"
"{""id"":Q7M729}"
"{""id"":Q8BHK2}"
"{""id"":Q9ER60}"
"{""id"":Q9JIB0}"
"{""id"":Q9JJV9}"
"{""id"":Q9R053}"
"{""id"":Q9WTU3}"
"{""id"":R-HSA-5576890}"
"{""id"":Q12809}"
"{""id"":P01160}"
"{""id"":R-HSA-5578768}"
"{""id"":P16066}"
"{""id"":P20594}"
"{""id"":P23582}"
"{""id"":P43694}"
"{""id"":P52952}"
"{""id"":Q86Z02}"
"{""id"":Q92831}"
"{""id"":Q99593}"
"{""id"":Q9GZV5}"
"{""id"":Q9H2X6}"
"{""id"":Q9Y5Q5}"
"{""id"":R-RNO-5576893}"
"{""id"":R-SSC-5576892}"
"{""id"":A0A286ZLV7}"
"{""id"":A0A286ZLY4}"
"{""id"":A0A287AGM2}"
"{""id"":A0A287ANB2}"
"{""id"":A0A287ARY2}"
"{""id"":A0A287AY47}"
"{""id"":A0A287B2V0}"
"{""id"":A0A287BCC5}"
"{""id"":A0A287BN25}"
"{""id"":A0A287BNX1}"
"{""id"":A0A287BS01}"
"{""id"":A0A5G2QCQ9}"
"{""id"":A0A5G2RE65}"
"{""id"":A0A5G2RJN8}"
"{""id"":F1RL74}"
"{""id"":F1RSK2}"
"{""id"":F1S145}"
"{""id"":F1SAL3}"
"{""id"":F1SJS7}"
"{""id"":I3LH33}"
"{""id"":I3LPL6}"
"{""id"":Q95266}"
"{""id"":A0A286ZK85}"
"{""id"":R-SSC-5578775}"
"{""id"":A0A286ZRK2}"
"{""id"":A0A287A4L1}"
"{""id"":A0A287A6K5}"
"{""id"":A0A287AC87}"
"{""id"":A0A287AL21}"
"{""id"":A0A287APC7}"
"{""id"":A0A287AT82}"
"{""id"":A0A287BAN5}"
"{""id"":A0A287BCG8}"
"{""id"":A0A287BE30}"
"{""id"":A0A287BKF3}"
"{""id"":A0A287BL11}"
"{""id"":A0A287BMZ2}"
"{""id"":A0A287BNT0}"
"{""id"":A0A5G2QCH2}"
"{""id"":A0A5G2QQD2}"
"{""id"":A0A5G2QQF7}"
"{""id"":A0A5G2QVM5}"
"{""id"":A0A5G2QZV9}"
"{""id"":A0A5G2R1W3}"
"{""id"":A0A5G2R3M0}"
"{""id"":A0A5K1VCX5}"
"{""id"":D2WKD8}"
"{""id"":E7EI18}"
"{""id"":F1RJW7}"
"{""id"":F1S340}"
"{""id"":F1SAM6}"
"{""id"":F1SQA7}"
"{""id"":F1ST41}"
"{""id"":F2Z5F0}"
"{""id"":I3L8L8}"
"{""id"":P11607}"
"{""id"":P61013}"
"{""id"":O00180}"
"{""id"":R-HSA-5576886}"
"{""id"":O14649}"
"{""id"":O95069}"
"{""id"":O95279}"
"{""id"":P48050}"
"{""id"":P57789}"
